"ANO";"CEA";"NOME_CEA";"NUC_RURAL";"NUC_URBANO";"NUC_TOTAL";"DEC_URBANO";"DEC_RURAL";"DEC_TOTAL_CONJUNTO";"META_DEC";"FEC_URBANO";"FEC_RURAL";"FEC_TOTAL_CONJUNTO";"META_FEC";"ATENDE_DEC";"ATENDE_FEC"
2024;14645;MARECHAL CANDIDO RONDON;7418;36799;44217;6.8911;24.8577;9.9085;9;5.6676;12.129;6.753;7;NÃO;SIM
2023;14645;MARECHAL CANDIDO RONDON;7287;36120;43407;5.7186;20.3422;8.1878;10;4.8138;10.4515;5.7688;8;SIM;SIM
2022;14645;MARECHAL CANDIDO RONDON;7316;35469;42584;5.6382;20.511;8.1418;10;3.847;9.7128;4.8346;8;SIM;SIM
2025;14647;MAMBORE;4709;11255;15964;8.5895;33.5028;15.9244;14;8.3767;18.3015;11.298;8;NÃO;NÃO
2024;14647;MAMBORE;4653;11167;15819;7.0565;28.8315;13.4897;15;6.6561;16.338;9.5167;9;SIM;NÃO
2023;14647;MAMBORE;4653;11018;15658;5.7586;32.5458;13.7189;15;3.5952;14.5978;6.8647;9;SIM;SIM
2022;14647;MAMBORE;4651;10928;15579;7.4919;33.1694;15.1629;16;5.3304;14.2469;7.9938;10;SIM;SIM
2025;14650;VERA CRUZ;3423;41983;45399;4.3189;35.1555;6.6566;8;2.692;13.1425;3.4849;6;SIM;SIM
2024;14650;VERA CRUZ;3392;41244;44636;3.3776;33.4409;5.6775;8;2.9215;19.0204;4.1536;6;SIM;SIM
2023;14650;VERA CRUZ;3377;40401;43776;4.2116;38.7831;6.8837;8;5.5237;21.0832;6.7278;6;SIM;NÃO
2022;14650;VERA CRUZ;3338;39806;43144;2.7529;26.5563;4.5968;9;2.2983;16.7335;3.4164;7;SIM;SIM
2025;14651;LOANDA;10104;39363;49458;5.0177;17.8034;7.628;8;5.3823;10.5985;6.447;7;SIM;SIM
2024;14651;LOANDA;9767;38561;48328;5.387;16.4115;7.5955;9;6.0571;10.8053;7.0066;7;SIM;NÃO
2023;14651;LOANDA;9346;37916;47241;5.0724;20.6914;8.1346;9;3.4747;8.4153;4.4423;7;SIM;SIM
2022;14651;LOANDA;9021;37513;46531;5.4222;23.8182;8.9776;10;4.8979;10.9423;6.0671;8;SIM;SIM
2025;14652;LAPA;15019;17835;32854;5.8121;24.5482;14.3677;15;4.4769;14.7638;9.1742;9;SIM;NÃO
2024;14652;LAPA;14807;17636;32443;9.8813;29.277;18.7207;15;11.1968;20.4165;15.4001;10;NÃO;NÃO
2023;14652;LAPA;14414;17309;31723;6.3461;35.5212;19.5965;15;5.3406;17.8332;11.0136;10;NÃO;NÃO
2022;14652;LAPA;14128;17061;31188;8.8062;32.4362;19.4793;16;8.2201;16.3023;11.8725;11;NÃO;NÃO
2025;14653;IVAIPORA;11335;29964;41246;4.9998;22.8292;9.9085;14;3.2657;10.8617;5.3549;8;SIM;SIM
2024;14653;IVAIPORA;11166;29422;40588;5.1081;26.3428;10.9539;14;4.3824;12.5761;6.6379;9;SIM;SIM
2023;14653;IVAIPORA;11027;29016;40043;6.7418;37.2355;15.1973;15;5.1204;14.533;7.734;9;NÃO;SIM
2022;14653;IVAIPORA;10981;28666;39647;5.8901;33.4602;13.5596;15;5.7158;12.9852;7.7375;10;SIM;SIM
2025;14656;GOIOERE;3278;26150;29428;5.7729;25.8089;7.997;9;3.472;10.0824;4.2058;7;SIM;SIM
2024;14656;GOIOERE;3219;25941;29160;4.5524;25.7161;6.8657;9;3.9052;11.0474;4.6859;7;SIM;SIM
2023;14656;GOIOERE;3132;25741;28873;4.803;30.0962;7.5481;9;2.7613;9.2034;3.4604;7;SIM;SIM
2022;14656;GOIOERE;3130;25678;28806;5.089;25.0299;7.2513;10;3.5148;9.8276;4.1991;8;SIM;SIM
2025;14657;GUARATUBA;954;30877;31827;5.9188;26.597;6.5338;7;4.5561;7.5026;4.6435;6;SIM;SIM
2024;14657;GUARATUBA;935;30408;31343;6.2007;29.0719;6.882;7;3.8315;10.979;4.0441;6;SIM;SIM
2023;14657;GUARATUBA;919;29888;30801;6.0127;40.4463;7.0322;7;7.9678;25.0442;8.4734;6;NÃO;NÃO
2022;14657;GUARATUBA;903;29315;30214;6.639;68.1446;8.4745;7;4.8778;20.7713;5.3523;6;NÃO;SIM
2025;14658;FRANCISCO BELTRAO;14405;52804;67134;4.1644;27.8376;9.2904;11;3.4291;14.1569;5.7522;7;SIM;SIM
2024;14658;FRANCISCO BELTRAO;14383;51585;65963;5.546;37.7185;12.576;12;4.1098;19.3314;7.4358;7;NÃO;NÃO
2023;14658;FRANCISCO BELTRAO;14312;50841;65153;7.6282;31.9991;12.9983;12;8.0773;17.5997;10.175;7;NÃO;NÃO
2022;14658;FRANCISCO BELTRAO;14216;50025;64238;6.2054;40.4832;13.7995;13;5.5635;19.336;8.6152;8;NÃO;NÃO
2025;14659;FLORESTOPOLIS;3036;20946;23970;2.7395;18.2388;4.6663;8;1.5432;5.4042;2.0231;7;SIM;SIM
2024;14659;FLORESTOPOLIS;2912;20852;23764;5.2134;16.2862;6.5695;8;4.419;7.1562;4.7543;7;SIM;SIM
2023;14659;FLORESTOPOLIS;2893;20821;23714;3.2362;18.3314;5.0728;9;2.8095;6.594;3.2697;7;SIM;SIM
2022;14659;FLORESTOPOLIS;2848;20758;23606;3.2043;15.9271;4.7296;9;2.3605;6.6492;2.8745;8;SIM;SIM
2025;14662;FAXINAL;6518;19036;25554;6.5409;22.73;10.6632;12;4.8138;8.6758;5.7972;8;SIM;SIM
2024;14662;FAXINAL;6397;18829;25226;4.5198;19.6454;8.3468;12;3.0771;6.9761;4.0638;8;SIM;SIM
2023;14662;FAXINAL;6300;18691;24991;6.4382;23.7713;10.8063;12;5.6213;9.6286;6.631;8;SIM;SIM
